0;Paris;Paris
1;Saint-Denis;Meaux
2;La Ferté-sous-Jouarre;Sedan
3;Charleville-Mézières;Saint-Dizier
4;Joinville;Saint-Dizier
5;Troyes;Nevers
6;Nevers;Lyon
7;Lyon;Morzine-Avoriaz
8;Sallanches;L'Alpe d'Huez
9;Bourg d'Oisans;Gap
10;Gap;Marseille
11;Narbonne;Toulouse
12;Gaillac;Cap' Découverte
13;Toulouse (Cité de l'espace);Ax 3 Domaines
14;Saint-Girons;Loudenvielle-Le Louron
15;Bagnères-de-Bigorre;Luz-Ardiden
16;Pau;Bayonne
17;Dax;Bordeaux
18;Bordeaux;Saint-Maixent-L'Ecole
19;Pornic;Nantes
20;Ville d'Avray;Paris
