A2R  AG2R PREVOYANCE     
ALS  ALESSIO             
BAN  IBANESTO.COM        
BLB  BRIOCHES LA BOULANGÈ
C.A  CREDIT AGRICOLE     
CAL  CALDIROLA - SO.DI   
COF  COFIDIS CREDIT PAR T
CSC  TEAM CSC            
DEL  JEAN DELATOUR       
EUS  EUSKALTEL - EUSKADI 
FAS  FASSA BORTOLO       
FDJ  FDJEUX.COM          
GST  GEROLSTEINER        
KEL  KELME - COSTA BLANCA
LOT  LOTTO - DOMO        
ONE  ONCE - EROSKI       
QSD  QUICK STEP - DAVITAM
RAB  RABOBANK            
SAE  SAECO - MACCHINE PER
TBI  TEAM BIANCHI        
TEL  TEAM TELEKOM        
USP  US POSTAL - BERRY FL 
